rate_date,currency,exchange_rate_to_inr
2026-01-16,EUR,105.04
2026-01-16,CAD,63.0
2026-01-16,AUD,57.78
2026-01-17,USD,90.5
2026-01-17,GBP,119.85
2026-01-17,INR,1.0
2026-01-17,EUR,101.3
2026-01-17,CAD,65.0
2026-01-17,AUD,58.7
2026-01-18,USD,91.18
2026-01-18,GBP,121.23
2026-01-18,INR,1.0
2026-01-18,EUR,101.33
2026-01-18,CAD,64.66
2026-01-18,AUD,59.11
2026-01-19,USD,92.11
2026-01-19,GBP,119.97
2026-01-19,INR,1.0
2026-01-19,EUR,101.05
2026-01-19,CAD,64.49
2026-01-19,AUD,58.59
2026-01-20,USD,90.33
2026-01-20,GBP,121.27
2026-01-20,INR,1.0
2026-01-20,EUR,101.68
2026-01-20,CAD,65.27
2026-01-20,AUD,58.0
2026-01-21,USD,92.72
2026-01-21,GBP,116.79
2026-01-21,INR,1.0
2026-01-21,EUR,104.17
2026-01-21,CAD,65.11
2026-01-21,AUD,58.63
2026-01-22,USD,91.18
2026-01-22,GBP,120.54
2026-01-22,INR,1.0
2026-01-22,EUR,103.22
2026-01-22,CAD,62.85
2026-01-22,AUD,59.07
2026-01-23,USD,90.22
2026-01-23,GBP,119.65
2026-01-23,INR,1.0
2026-01-23,EUR,101.49
2026-01-23,CAD,62.93
2026-01-23,AUD,58.21
2026-01-24,USD,92.48
2026-01-24,GBP,120.21
2026-01-24,INR,1.0
2026-01-24,EUR,101.67
2026-01-24,CAD,64.17
2026-01-24,AUD,57.39
2026-01-25,USD,91.73
2026-01-25,GBP,118.71
2026-01-25,INR,1.0
2026-01-25,EUR,101.86
2026-01-25,CAD,62.99
2026-01-25,AUD,57.71
2026-01-26,USD,91.94
2026-01-26,GBP,120.71
2026-01-26,INR,1.0
2026-01-26,EUR,104.17
2026-01-26,CAD,63.95
2026-01-26,AUD,57.3
2026-01-27,USD,91.18
2026-01-27,GBP,120.6
2026-01-27,INR,1.0
2026-01-27,EUR,104.77
2026-01-27,CAD,64.84
2026-01-27,AUD,56.93
2026-01-28,USD,90.31
2026-01-28,GBP,119.91
2026-01-28,INR,1.0
2026-01-28,EUR,101.52
2026-01-28,CAD,63.32
2026-01-28,AUD,57.81
2026-01-29,USD,90.51
2026-01-29,GBP,117.48
2026-01-29,INR,1.0
2026-01-29,EUR,101.96
2026-01-29,CAD,64.25
2026-01-29,AUD,57.58
2026-01-30,USD,89.37
2026-01-30,GBP,120.48
2026-01-30,INR,1.0
2026-01-30,EUR,102.31
2026-01-30,CAD,63.16
2026-01-30,AUD,57.19
2026-01-31,USD,92.37
2026-01-31,GBP,119.73
2026-01-31,INR,1.0
2026-01-31,EUR,102.74
2026-01-31,CAD,64.69
2026-01-31,AUD,58.0
2026-02-01,USD,91.79
2026-02-01,GBP,119.49
2026-02-01,INR,1.0
2026-02-01,EUR,102.93
2026-02-01,CAD,63.73
2026-02-01,AUD,58.53
2026-02-02,USD,91.62
2026-02-02,GBP,120.97
2026-02-02,INR,1.0
2026-02-02,EUR,102.77
2026-02-02,CAD,63.59
2026-02-02,AUD,58.5
2026-02-03,USD,89.8
2026-02-03,GBP,119.35
2026-02-03,INR,1.0
2026-02-03,EUR,101.48
2026-02-03,CAD,64.36
2026-02-03,AUD,57.64
2026-02-04,USD,91.69
2026-02-04,GBP,119.16
2026-02-04,INR,1.0
2026-02-04,EUR,103.54
2026-02-04,CAD,65.25
2026-02-04,AUD,57.04
2026-02-05,USD,90.04
2026-02-05,GBP,119.62
2026-02-05,INR,1.0
2026-02-05,EUR,102.16
2026-02-05,CAD,62.98
2026-02-05,AUD,57.79
2026-02-06,USD,89.5
2026-02-06,GBP,121.08
2026-02-06,INR,1.0
2026-02-06,EUR,101.92
2026-02-06,CAD,63.02
2026-02-06,AUD,57.55
2026-02-07,USD,92.56
2026-02-07,GBP,117.57
2026-02-07,INR,1.0
2026-02-07,EUR,101.96
2026-02-07,CAD,64.77
2026-02-07,AUD,57.54
2026-02-08,USD,89.61
2026-02-08,GBP,118.57
2026-02-08,INR,1.0
2026-02-08,EUR,101.53
2026-02-08,CAD,64.9
2026-02-08,AUD,57.77
2026-02-09,USD,91.14
2026-02-09,GBP,119.41
2026-02-09,INR,1.0
2026-02-09,EUR,104.35
2026-02-09,CAD,64.18
2026-02-09,AUD,56.89
2026-02-10,USD,89.62
2026-02-10,GBP,117.34
2026-02-10,INR,1.0
2026-02-10,EUR,103.73
2026-02-10,CAD,65.13
2026-02-10,AUD,58.93
2026-02-11,USD,90.27
2026-02-11,GBP,118.85
2026-02-11,INR,1.0
2026-02-11,EUR,103.87
2026-02-11,CAD,62.93
2026-02-11,AUD,56.88
2026-02-12,USD,92.49
2026-02-12,GBP,120.91
2026-02-12,INR,1.0
2026-02-12,EUR,103.71
2026-02-12,CAD,64.2
2026-02-12,AUD,57.17
2026-02-13,USD,89.55
2026-02-13,GBP,118.78
2026-02-13,INR,1.0
2026-02-13,EUR,102.79
2026-02-13,CAD,64.67
2026-02-13,AUD,58.89
2026-02-14,USD,90.96
2026-02-14,GBP,118.74
2026-02-14,INR,1.0
2026-02-14,EUR,103.68
2026-02-14,CAD,64.41
2026-02-14,AUD,58.13
2026-02-15,USD,89.77
2026-02-15,GBP,117.65
2026-02-15,INR,1.0
2026-02-15,EUR,102.67
2026-02-15,CAD,63.36
2026-02-15,AUD,58.48
2026-02-16,USD,90.54
2026-02-16,GBP,121.04
2026-02-16,INR,1.0
2026-02-16,EUR,104.19
2026-02-16,CAD,62.85
2026-02-16,AUD,57.57
2026-02-17,USD,89.21
2026-02-17,GBP,116.66
2026-02-17,INR,1.0
2026-02-17,EUR,101.65
2026-02-17,CAD,64.08
2026-02-17,AUD,58.3
2026-02-18,USD,90.56
2026-02-18,GBP,119.11
2026-02-18,INR,1.0
2026-02-18,EUR,104.14
2026-02-18,CAD,64.29
2026-02-18,AUD,57.35
2026-02-19,USD,92.54
2026-02-19,GBP,116.95
2026-02-19,INR,1.0
2026-02-19,EUR,101.65
2026-02-19,CAD,64.54
2026-02-19,AUD,58.98
2026-02-20,USD,92.17
2026-02-20,GBP,120.84
2026-02-20,INR,1.0
2026-02-20,EUR,101.97
2026-02-20,CAD,63.47
2026-02-20,AUD,58.59
2026-02-21,USD,91.98
2026-02-21,GBP,120.11
2026-02-21,INR,1.0
2026-02-21,EUR,104.26
2026-02-21,CAD,64.19
2026-02-21,AUD,56.96
2026-02-22,USD,90.21
2026-02-22,GBP,118.05
2026-02-22,INR,1.0
2026-02-22,EUR,103.7
2026-02-22,CAD,64.15
2026-02-22,AUD,58.75
2026-02-23,USD,90.9
2026-02-23,GBP,119.63
2026-02-23,INR,1.0
2026-02-23,EUR,102.71
2026-02-23,CAD,65.15
2026-02-23,AUD,58.86
2026-02-24,USD,90.2
2026-02-24,GBP,117.13
2026-02-24,INR,1.0
2026-02-24,EUR,105.04
2026-02-24,CAD,63.39
2026-02-24,AUD,57.04
2026-02-25,USD,89.58
2026-02-25,GBP,120.3
2026-02-25,INR,1.0
2026-02-25,EUR,101.95
2026-02-25,CAD,63.88
2026-02-25,AUD,57.18
2026-02-26,USD,90.98
2026-02-26,GBP,119.59
2026-02-26,INR,1.0
2026-02-26,EUR,101.96
2026-02-26,CAD,63.74
2026-02-26,AUD,58.05
2026-02-27,USD,90.06
2026-02-27,GBP,120.63
2026-02-27,INR,1.0
2026-02-27,EUR,101.05
2026-02-27,CAD,63.52
2026-02-27,AUD,58.73
2026-02-28,USD,91.67
2026-02-28,GBP,118.46
2026-02-28,INR,1.0
2026-02-28,EUR,101.98
2026-02-28,CAD,65.03
2026-02-28,AUD,58.07
2026-03-01,USD,89.33
2026-03-01,GBP,118.16
2026-03-01,INR,1.0
2026-03-01,EUR,101.12
2026-03-01,CAD,65.27
2026-03-01,AUD,58.96
2026-03-02,USD,90.59
2026-03-02,GBP,116.99
2026-03-02,INR,1.0
2026-03-02,EUR,104.19
2026-03-02,CAD,64.99
2026-03-02,AUD,59.09
2026-03-03,USD,90.09
2026-03-03,GBP,120.6
2026-03-03,INR,1.0
2026-03-03,EUR,101.52
2026-03-03,CAD,65.0
2026-03-03,AUD,58.6
2026-03-04,USD,90.15
2026-03-04,GBP,118.87
2026-03-04,INR,1.0
2026-03-04,EUR,102.45
2026-03-04,CAD,65.25
2026-03-04,AUD,57.91
2026-03-05,USD,92.22
2026-03-05,GBP,120.35
2026-03-05,INR,1.0
2026-03-05,EUR,101.59
2026-03-05,CAD,63.33
2026-03-05,AUD,57.33
2026-03-06,USD,92.79
2026-03-06,GBP,119.22
2026-03-06,INR,1.0
2026-03-06,EUR,103.23
2026-03-06,CAD,62.9
2026-03-06,AUD,57.96
2026-03-07,USD,89.47
2026-03-07,GBP,121.18
2026-03-07,INR,1.0
2026-03-07,EUR,105.02
2026-03-07,CAD,64.1
2026-03-07,AUD,58.37
2026-03-08,USD,90.66
2026-03-08,GBP,121.18
2026-03-08,INR,1.0
2026-03-08,EUR,100.96
2026-03-08,CAD,65.24
2026-03-08,AUD,59.08
2026-03-09,USD,89.87
2026-03-09,GBP,117.47
2026-03-09,INR,1.0
2026-03-09,EUR,102.91
2026-03-09,CAD,64.28
2026-03-09,AUD,58.25
2026-03-10,USD,90.55
2026-03-10,GBP,118.62
2026-03-10,INR,1.0
2026-03-10,EUR,101.99
2026-03-10,CAD,62.87
2026-03-10,AUD,57.67
2026-03-11,USD,92.12
2026-03-11,GBP,120.43
2026-03-11,INR,1.0
2026-03-11,EUR,102.57
2026-03-11,CAD,64.59
2026-03-11,AUD,58.08
2026-03-12,USD,91.34
2026-03-12,GBP,120.65
2026-03-12,INR,1.0
2026-03-12,EUR,103.04
2026-03-12,CAD,63.24
2026-03-12,AUD,58.22
2026-03-13,USD,90.76
2026-03-13,GBP,117.15
2026-03-13,INR,1.0
2026-03-13,EUR,102.98
2026-03-13,CAD,63.08
2026-03-13,AUD,58.62
2026-03-14,USD,91.37
2026-03-14,GBP,120.88
2026-03-14,INR,1.0
2026-03-14,EUR,101.6
2026-03-14,CAD,63.81
2026-03-14,AUD,58.87
2026-03-15,USD,89.45
2026-03-15,GBP,119.82
2026-03-15,INR,1.0
2026-03-15,EUR,101.97
2026-03-15,CAD,64.55
2026-03-15,AUD,57.01
2026-03-16,USD,92.17
2026-03-16,GBP,120.68
2026-03-16,INR,1.0
2026-03-16,EUR,101.62
2026-03-16,CAD,63.86
2026-03-16,AUD,57.71
2026-03-17,USD,91.97
2026-03-17,GBP,120.8
2026-03-17,INR,1.0
2026-03-17,EUR,100.95
2026-03-17,CAD,64.91
2026-03-17,AUD,56.85
2026-03-18,USD,90.53
2026-03-18,GBP,118.25
2026-03-18,INR,1.0
2026-03-18,EUR,103.36
2026-03-18,CAD,62.94
2026-03-18,AUD,58.51
2026-03-19,USD,90.48
2026-03-19,GBP,121.35
2026-03-19,INR,1.0
2026-03-19,EUR,102.8
2026-03-19,CAD,64.45
2026-03-19,AUD,57.51
2026-03-20,USD,92.1
2026-03-20,GBP,119.86
2026-03-20,INR,1.0
2026-03-20,EUR,104.82
2026-03-20,CAD,63.43
2026-03-20,AUD,58.53
2026-03-21,USD,89.43
2026-03-21,GBP,118.0
2026-03-21,INR,1.0
2026-03-21,EUR,103.32
2026-03-21,CAD,63.65
2026-03-21,AUD,57.22
2026-03-22,USD,91.63
2026-03-22,GBP,117.09
2026-03-22,INR,1.0
2026-03-22,EUR,102.94
2026-03-22,CAD,62.79
2026-03-22,AUD,57.68
2026-03-23,USD,89.23
2026-03-23,GBP,117.66
2026-03-23,INR,1.0
2026-03-23,EUR,102.09
2026-03-23,CAD,63.94
2026-03-23,AUD,56.93
2026-03-24,USD,91.47
2026-03-24,GBP,120.39
2026-03-24,INR,1.0
2026-03-24,EUR,102.94
2026-03-24,CAD,63.77
2026-03-24,AUD,57.75
2026-03-25,USD,92.29
2026-03-25,GBP,119.39
2026-03-25,INR,1.0
2026-03-25,EUR,102.97
2026-03-25,CAD,64.47
2026-03-25,AUD,58.06
2026-03-26,USD,92.56
2026-03-26,GBP,117.73
2026-03-26,INR,1.0
2026-03-26,EUR,101.13
2026-03-26,CAD,63.36
2026-03-26,AUD,57.87
2026-03-27,USD,91.62
2026-03-27,GBP,119.73
2026-03-27,INR,1.0
2026-03-27,EUR,103.68
2026-03-27,CAD,63.95
2026-03-27,AUD,57.69
2026-03-28,USD,89.48
2026-03-28,GBP,117.19
2026-03-28,INR,1.0
2026-03-28,EUR,101.36
2026-03-28,CAD,63.48
2026-03-28,AUD,59.04
2026-03-29,USD,92.53
2026-03-29,GBP,120.43
2026-03-29,INR,1.0
2026-03-29,EUR,103.25
2026-03-29,CAD,62.76
2026-03-29,AUD,58.83
2026-03-30,USD,91.66
2026-03-30,GBP,119.48
2026-03-30,INR,1.0
2026-03-30,EUR,104.86
2026-03-30,CAD,64.34
2026-03-30,AUD,57.37
2026-03-31,USD,91.79
2026-03-31,GBP,117.65
2026-03-31,INR,1.0
2026-03-31,EUR,103.13
2026-03-31,CAD,64.05
2026-03-31,AUD,58.37
2026-04-01,USD,91.93
2026-04-01,GBP,116.7
2026-04-01,INR,1.0
2026-04-01,EUR,103.37
2026-04-01,CAD,62.86
2026-04-01,AUD,57.56
2026-04-02,USD,92.23
2026-04-02,GBP,121.21
2026-04-02,INR,1.0
2026-04-02,EUR,101.65
2026-04-02,CAD,64.75
2026-04-02,AUD,59.16
2026-04-03,USD,91.18
2026-04-03,GBP,116.9
2026-04-03,INR,1.0
2026-04-03,EUR,102.59
2026-04-03,CAD,64.62
2026-04-03,AUD,58.07
2026-04-04,USD,90.67
2026-04-04,GBP,121.2
2026-04-04,INR,1.0
2026-04-04,EUR,103.14
2026-04-04,CAD,62.94
2026-04-04,AUD,57.73
2026-04-05,USD,91.03
2026-04-05,GBP,116.86
2026-04-05,INR,1.0
2026-04-05,EUR,102.76
2026-04-05,CAD,63.51
2026-04-05,AUD,57.29
2026-04-06,USD,92.48
2026-04-06,GBP,118.57
2026-04-06,INR,1.0
2026-04-06,EUR,103.35
2026-04-06,CAD,64.13
2026-04-06,AUD,57.64
2026-04-07,USD,90.33
2026-04-07,GBP,118.41
2026-04-07,INR,1.0
2026-04-07,EUR,104.89
2026-04-07,CAD,64.83
2026-04-07,AUD,56.97
2026-04-08,USD,89.85
2026-04-08,GBP,117.21
2026-04-08,INR,1.0
2026-04-08,EUR,103.4
2026-04-08,CAD,63.95
2026-04-08,AUD,57.56
2026-04-09,USD,89.29
2026-04-09,GBP,119.85
2026-04-09,INR,1.0
2026-04-09,EUR,101.27
2026-04-09,CAD,63.72
2026-04-09,AUD,57.07
2026-04-10,USD,91.65
2026-04-10,GBP,119.65
2026-04-10,INR,1.0
2026-04-10,EUR,102.02
2026-04-10,CAD,64.76
2026-04-10,AUD,58.21
2026-04-11,USD,90.06
2026-04-11,GBP,120.61
2026-04-11,INR,1.0
2026-04-11,EUR,101.65
2026-04-11,CAD,64.35
2026-04-11,AUD,58.69
2026-04-12,USD,90.9
2026-04-12,GBP,119.71
2026-04-12,INR,1.0
2026-04-12,EUR,101.81
2026-04-12,CAD,64.83
2026-04-12,AUD,57.96
2026-04-13,USD,92.34
2026-04-13,GBP,120.28
2026-04-13,INR,1.0
2026-04-13,EUR,103.7
2026-04-13,CAD,64.98
2026-04-13,AUD,57.47
2026-04-14,USD,89.37
2026-04-14,GBP,119.73
2026-04-14,INR,1.0
2026-04-14,EUR,102.1
2026-04-14,CAD,64.31
2026-04-14,AUD,58.69
2026-04-15,USD,91.35
2026-04-15,GBP,119.34
2026-04-15,INR,1.0
2026-04-15,EUR,102.86
2026-04-15,CAD,64.91
2026-04-15,AUD,57.09
2026-04-16,USD,89.86
2026-04-16,GBP,118.95
2026-04-16,INR,1.0
2026-04-16,EUR,104.14
2026-04-16,CAD,63.95
2026-04-16,AUD,58.02
2026-04-17,USD,92.79
2026-04-17,GBP,120.95
2026-04-17,INR,1.0
2026-04-17,EUR,102.94
2026-04-17,CAD,65.09
2026-04-17,AUD,58.98
2026-04-18,USD,89.27
2026-04-18,GBP,117.15
2026-04-18,INR,1.0
2026-04-18,EUR,101.8
2026-04-18,CAD,62.95
2026-04-18,AUD,57.38
2026-04-19,USD,90.14
2026-04-19,GBP,118.6
2026-04-19,INR,1.0
2026-04-19,EUR,102.72
2026-04-19,CAD,63.1
2026-04-19,AUD,57.59
2026-04-20,USD,92.32
2026-04-20,GBP,120.03
2026-04-20,INR,1.0
2026-04-20,EUR,102.13
2026-04-20,CAD,62.84
2026-04-20,AUD,56.86
2026-04-21,USD,90.99
2026-04-21,GBP,119.57
2026-04-21,INR,1.0
2026-04-21,EUR,102.82
2026-04-21,CAD,63.91
2026-04-21,AUD,58.49
2026-04-22,USD,90.35
2026-04-22,GBP,120.17
2026-04-22,INR,1.0
2026-04-22,EUR,103.47
2026-04-22,CAD,64.95
2026-04-22,AUD,57.82
2026-04-23,USD,91.68
2026-04-23,GBP,116.66
2026-04-23,INR,1.0
2026-04-23,EUR,103.1
2026-04-23,CAD,64.96
2026-04-23,AUD,58.82
2026-04-24,USD,90.77
2026-04-24,GBP,117.82
2026-04-24,INR,1.0
2026-04-24,EUR,101.75
2026-04-24,CAD,63.84
2026-04-24,AUD,59.01
2026-04-25,USD,89.58
2026-04-25,GBP,117.4
2026-04-25,INR,1.0
2026-04-25,EUR,102.99
2026-04-25,CAD,63.44
2026-04-25,AUD,58.41
2026-04-26,USD,90.43
2026-04-26,GBP,116.98
2026-04-26,INR,1.0
2026-04-26,EUR,101.99
2026-04-26,CAD,65.19
2026-04-26,AUD,57.18
2026-04-27,USD,91.83
2026-04-27,GBP,116.85
2026-04-27,INR,1.0
2026-04-27,EUR,101.29
2026-04-27,CAD,64.79
2026-04-27,AUD,59.09
2026-04-28,USD,91.01
2026-04-28,GBP,117.39
2026-04-28,INR,1.0
2026-04-28,EUR,102.97
2026-04-28,CAD,64.25
2026-04-28,AUD,58.27
2026-04-29,USD,90.27
2026-04-29,GBP,120.98
2026-04-29,INR,1.0
2026-04-29,EUR,104.68
2026-04-29,CAD,63.98
2026-04-29,AUD,56.99
2026-04-30,USD,92.36
2026-04-30,GBP,121.3
2026-04-30,INR,1.0
2026-04-30,EUR,101.55
2026-04-30,CAD,62.96
2026-04-30,AUD,58.87
2026-05-01,USD,89.92
2026-05-01,GBP,121.24
2026-05-01,INR,1.0
2026-05-01,EUR,102.75
2026-05-01,CAD,64.5
2026-05-01,AUD,58.24
2026-05-02,USD,89.79
2026-05-02,GBP,119.2
2026-05-02,INR,1.0
2026-05-02,EUR,101.59
2026-05-02,CAD,62.96
2026-05-02,AUD,57.84
2026-05-03,USD,89.78
2026-05-03,GBP,117.22
2026-05-03,INR,1.0
2026-05-03,EUR,104.1
2026-05-03,CAD,63.63
2026-05-03,AUD,58.47
2026-05-04,USD,90.39
2026-05-04,GBP,117.18
2026-05-04,INR,1.0
2026-05-04,EUR,103.29
2026-05-04,CAD,65.24
2026-05-04,AUD,58.76
2026-05-05,USD,90.69
2026-05-05,GBP,121.31
2026-05-05,INR,1.0
2026-05-05,EUR,101.98
2026-05-05,CAD,64.04
2026-05-05,AUD,57.89
2026-05-06,USD,91.42
2026-05-06,GBP,119.28
2026-05-06,INR,1.0
2026-05-06,EUR,103.12
2026-05-06,CAD,64.87
2026-05-06,AUD,57.13
2026-05-07,USD,90.8
2026-05-07,GBP,118.23
2026-05-07,INR,1.0
2026-05-07,EUR,103.86
2026-05-07,CAD,65.0
2026-05-07,AUD,58.15
2026-05-08,USD,91.58
2026-05-08,GBP,118.71
2026-05-08,INR,1.0
2026-05-08,EUR,103.69
2026-05-08,CAD,65.07
2026-05-08,AUD,57.53
2026-05-09,USD,91.34
2026-05-09,GBP,116.85
2026-05-09,INR,1.0
2026-05-09,EUR,102.99
2026-05-09,CAD,62.97
2026-05-09,AUD,58.68
2026-05-10,USD,89.91
2026-05-10,GBP,120.63
2026-05-10,INR,1.0
2026-05-10,EUR,102.65
2026-05-10,CAD,64.75
2026-05-10,AUD,57.98
2026-05-11,USD,92.41
2026-05-11,GBP,117.52
2026-05-11,INR,1.0
2026-05-11,EUR,101.75
2026-05-11,CAD,62.97
2026-05-11,AUD,58.42
2026-05-12,USD,90.09
2026-05-12,GBP,120.28
2026-05-12,INR,1.0
2026-05-12,EUR,105.03
2026-05-12,CAD,64.12
2026-05-12,AUD,58.18
2026-05-13,USD,89.71
2026-05-13,GBP,119.93
2026-05-13,INR,1.0
2026-05-13,EUR,103.95
2026-05-13,CAD,63.31
2026-05-13,AUD,58.59
2026-05-14,USD,90.34
2026-05-14,GBP,118.18
2026-05-14,INR,1.0
2026-05-14,EUR,103.51
2026-05-14,CAD,63.76
2026-05-14,AUD,58.58
2026-05-15,USD,92.52
2026-05-15,GBP,119.28
2026-05-15,INR,1.0
2026-05-15,EUR,105.06
2026-05-15,CAD,64.55
2026-05-15,AUD,58.63
2026-05-16,USD,92.11
2026-05-16,GBP,118.4
2026-05-16,INR,1.0
2026-05-16,EUR,104.64
2026-05-16,CAD,62.72
2026-05-16,AUD,58.53
2026-05-17,USD,92.48
2026-05-17,GBP,121.38
2026-05-17,INR,1.0
2026-05-17,EUR,102.92
2026-05-17,CAD,65.07
2026-05-17,AUD,57.5
2026-05-18,USD,91.95
2026-05-18,GBP,120.94
2026-05-18,INR,1.0
2026-05-18,EUR,102.82
2026-05-18,CAD,64.47
2026-05-18,AUD,58.44
2026-05-19,USD,89.28
2026-05-19,GBP,119.78
2026-05-19,INR,1.0
2026-05-19,EUR,101.73
2026-05-19,CAD,64.74
2026-05-19,AUD,57.41
2026-05-20,USD,91.09
2026-05-20,GBP,117.42
2026-05-20,INR,1.0
2026-05-20,EUR,103.91
2026-05-20,CAD,64.26
2026-05-20,AUD,58.07
2026-05-21,USD,90.48
2026-05-21,GBP,117.87
2026-05-21,INR,1.0
2026-05-21,EUR,104.37
2026-05-21,CAD,64.69
2026-05-21,AUD,57.64
2026-05-22,USD,90.97
2026-05-22,GBP,118.1
2026-05-22,INR,1.0
2026-05-22,EUR,101.38
2026-05-22,CAD,64.88
2026-05-22,AUD,57.92
2026-05-23,USD,89.33
2026-05-23,GBP,120.24
2026-05-23,INR,1.0
2026-05-23,EUR,103.91
2026-05-23,CAD,64.28
2026-05-23,AUD,57.62
2026-05-24,USD,89.6
2026-05-24,GBP,117.23
2026-05-24,INR,1.0
2026-05-24,EUR,104.06
2026-05-24,CAD,64.2
2026-05-24,AUD,56.86
2026-05-25,USD,90.3
2026-05-25,GBP,120.94
2026-05-25,INR,1.0
2026-05-25,EUR,103.84
2026-05-25,CAD,64.89
2026-05-25,AUD,58.07
2026-05-26,USD,90.65
2026-05-26,GBP,118.19
2026-05-26,INR,1.0
2026-05-26,EUR,104.51
2026-05-26,CAD,63.8
2026-05-26,AUD,56.88
2026-05-27,USD,90.48
2026-05-27,GBP,118.96
2026-05-27,INR,1.0
2026-05-27,EUR,101.95
2026-05-27,CAD,62.84
2026-05-27,AUD,58.26
2026-05-28,USD,90.51
2026-05-28,GBP,117.86
2026-05-28,INR,1.0
2026-05-28,EUR,102.08
2026-05-28,CAD,63.77
2026-05-28,AUD,57.21
2026-05-29,USD,92.81
2026-05-29,GBP,117.18
2026-05-29,INR,1.0
2026-05-29,EUR,102.46
2026-05-29,CAD,64.26
2026-05-29,AUD,58.0
2026-05-30,USD,92.01
2026-05-30,GBP,118.51
2026-05-30,INR,1.0
2026-05-30,EUR,104.84
2026-05-30,CAD,63.79
2026-05-30,AUD,57.08
2026-05-31,USD,91.28
2026-05-31,GBP,117.28
2026-05-31,INR,1.0
2026-05-31,EUR,103.47
2026-05-31,CAD,62.94
2026-05-31,AUD,57.31
2026-06-01,USD,90.45
2026-06-01,GBP,119.01
2026-06-01,INR,1.0
2026-06-01,EUR,101.28
2026-06-01,CAD,62.74
2026-06-01,AUD,57.81
2026-06-02,USD,92.35
2026-06-02,GBP,117.04
2026-06-02,INR,1.0
2026-06-02,EUR,102.05
2026-06-02,CAD,63.95
2026-06-02,AUD,58.83
2026-06-03,USD,91.94
2026-06-03,GBP,116.99
2026-06-03,INR,1.0
2026-06-03,EUR,103.89
2026-06-03,CAD,63.5
2026-06-03,AUD,57.99
2026-06-04,USD,91.93
2026-06-04,GBP,121.26
2026-06-04,INR,1.0
2026-06-04,EUR,104.09
2026-06-04,CAD,64.37
2026-06-04,AUD,57.48
2026-06-05,USD,91.6
2026-06-05,GBP,119.29
2026-06-05,INR,1.0
2026-06-05,EUR,104.72
2026-06-05,CAD,64.63
2026-06-05,AUD,57.84
2026-06-06,USD,92.65
2026-06-06,GBP,119.59
2026-06-06,INR,1.0
2026-06-06,EUR,102.4
2026-06-06,CAD,64.21
2026-06-06,AUD,59.0
2026-06-07,USD,90.67
2026-06-07,GBP,119.91
2026-06-07,INR,1.0
2026-06-07,EUR,103.41
2026-06-07,CAD,62.9
2026-06-07,AUD,57.2
2026-06-08,USD,91.42
2026-06-08,GBP,118.08
2026-06-08,INR,1.0
2026-06-08,EUR,102.16
2026-06-08,CAD,65.15
2026-06-08,AUD,57.52
2026-06-09,USD,92.78
2026-06-09,GBP,118.35
2026-06-09,INR,1.0
2026-06-09,EUR,101.6
2026-06-09,CAD,64.77
2026-06-09,AUD,58.52
2026-06-10,USD,90.94
2026-06-10,GBP,120.14
2026-06-10,INR,1.0
2026-06-10,EUR,102.4
2026-06-10,CAD,63.84
2026-06-10,AUD,58.98
2026-06-11,USD,89.96
2026-06-11,GBP,118.78
2026-06-11,INR,1.0
2026-06-11,EUR,103.31
2026-06-11,CAD,63.36
2026-06-11,AUD,58.85
2026-06-12,USD,90.29
2026-06-12,GBP,118.52
2026-06-12,INR,1.0
2026-06-12,EUR,103.44
2026-06-12,CAD,65.12
2026-06-12,AUD,57.12
2026-06-13,USD,90.31
2026-06-13,GBP,117.45
2026-06-13,INR,1.0
2026-06-13,EUR,102.87
2026-06-13,CAD,64.06
2026-06-13,AUD,57.26
2026-06-14,USD,90.1
2026-06-14,GBP,119.76
2026-06-14,INR,1.0
2026-06-14,EUR,101.42
2026-06-14,CAD,64.34
2026-06-14,AUD,57.46
2026-06-15,USD,92.28
2026-06-15,GBP,117.39
2026-06-15,INR,1.0
2026-06-15,EUR,102.56
2026-06-15,CAD,64.56
2026-06-15,AUD,57.09
2026-06-16,USD,91.11
2026-06-16,GBP,118.94
2026-06-16,INR,1.0
2026-06-16,EUR,102.69
2026-06-16,CAD,64.33
2026-06-16,AUD,57.95
2026-06-17,USD,89.33
2026-06-17,GBP,120.5
2026-06-17,INR,1.0
2026-06-17,EUR,104.91
2026-06-17,CAD,63.12
2026-06-17,AUD,58.86
2026-06-18,USD,90.28
2026-06-18,GBP,119.58
2026-06-18,INR,1.0
2026-06-18,EUR,101.94
2026-06-18,CAD,63.46
2026-06-18,AUD,57.77
2026-06-19,USD,90.4
2026-06-19,GBP,116.8
2026-06-19,INR,1.0
2026-06-19,EUR,105.03
2026-06-19,CAD,63.69
2026-06-19,AUD,57.84
2026-06-20,USD,92.23
2026-06-20,GBP,119.91
2026-06-20,INR,1.0
2026-06-20,EUR,104.5
2026-06-20,CAD,64.34
2026-06-20,AUD,58.93
2026-06-21,USD,92.48
2026-06-21,GBP,119.03
2026-06-21,INR,1.0
2026-06-21,EUR,101.68
2026-06-21,CAD,63.1
2026-06-21,AUD,58.65
2026-06-22,USD,89.31
2026-06-22,GBP,120.79
2026-06-22,INR,1.0
2026-06-22,EUR,104.31
2026-06-22,CAD,64.55
2026-06-22,AUD,57.85
2026-06-23,USD,91.88
2026-06-23,GBP,120.13
2026-06-23,INR,1.0
2026-06-23,EUR,101.8
2026-06-23,CAD,63.24
2026-06-23,AUD,58.37
2026-06-24,USD,89.83
2026-06-24,GBP,119.43
